"msa","name_msa","fipstate","fipscty","name_county"
"13220","Beckley, WV Metro Area","54","081","Raleigh County, West Virginia"
"13260","Bedford, IN Micro Area","18","093","Lawrence County, Indiana"
"13300","Beeville, TX Micro Area","48","025","Bee County, Texas"
"13340","Bellefontaine, OH Micro Area","39","091","Logan County, Ohio"
"13380","Bellingham, WA Metro Area","53","073","Whatcom County, Washington"
"13420","Bemidji, MN Micro Area","27","007","Beltrami County, Minnesota"
"13460","Bend-Redmond, OR Metro Area","41","017","Deschutes County, Oregon"
"13500","Bennettsville, SC Micro Area","45","069","Marlboro County, South Carolina"
"13540","Bennington, VT Micro Area","50","003","Bennington County, Vermont"
"13620","Berlin, NH-VT Micro Area","33","007","Coos County, New Hampshire"
"13620","Berlin, NH-VT Micro Area","50","009","Essex County, Vermont"
"13660","Big Rapids, MI Micro Area","26","107","Mecosta County, Michigan"
"13700","Big Spring, TX Micro Area","48","173","Glasscock County, Texas"
"13700","Big Spring, TX Micro Area","48","227","Howard County, Texas"
"13720","Big Stone Gap, VA Micro Area","51","051","Dickenson County, Virginia"
"13720","Big Stone Gap, VA Micro Area","51","195","Wise County, Virginia"
"13720","Big Stone Gap, VA Micro Area","51","720","Norton city, Virginia"
"13740","Billings, MT Metro Area","30","009","Carbon County, Montana"
"13740","Billings, MT Metro Area","30","037","Golden Valley County, Montana"
"13740","Billings, MT Metro Area","30","111","Yellowstone County, Montana"
"13780","Binghamton, NY Metro Area","36","007","Broome County, New York"
"13780","Binghamton, NY Metro Area","36","107","Tioga County, New York"
"13820","Birmingham-Hoover, AL Metro Area","01","007","Bibb County, Alabama"
"13820","Birmingham-Hoover, AL Metro Area","01","009","Blount County, Alabama"
"13820","Birmingham-Hoover, AL Metro Area","01","021","Chilton County, Alabama"
"13820","Birmingham-Hoover, AL Metro Area","01","073","Jefferson County, Alabama"
"13820","Birmingham-Hoover, AL Metro Area","01","115","St. Clair County, Alabama"
"13820","Birmingham-Hoover, AL Metro Area","01","117","Shelby County, Alabama"
"13820","Birmingham-Hoover, AL Metro Area","01","127","Walker County, Alabama"
"13900","Bismarck, ND Metro Area","38","015","Burleigh County, North Dakota"
"13900","Bismarck, ND Metro Area","38","059","Morton County, North Dakota"
"13900","Bismarck, ND Metro Area","38","065","Oliver County, North Dakota"
"13900","Bismarck, ND Metro Area","38","085","Sioux County, North Dakota"
"13940","Blackfoot, ID Micro Area","16","011","Bingham County, Idaho"
"13980","Blacksburg-Christiansburg-Radford, VA Metro Area","51","063","Floyd County, Virginia"
"13980","Blacksburg-Christiansburg-Radford, VA Metro Area","51","071","Giles County, Virginia"
"13980","Blacksburg-Christiansburg-Radford, VA Metro Area","51","121","Montgomery County, Virginia"
"13980","Blacksburg-Christiansburg-Radford, VA Metro Area","51","155","Pulaski County, Virginia"
"13980","Blacksburg-Christiansburg-Radford, VA Metro Area","51","750","Radford city, Virginia"
"14010","Bloomington, IL Metro Area","17","039","De Witt County, Illinois"
"14010","Bloomington, IL Metro Area","17","113","McLean County, Illinois"
"14020","Bloomington, IN Metro Area","18","105","Monroe County, Indiana"
"14020","Bloomington, IN Metro Area","18","119","Owen County, Indiana"
"14100","Bloomsburg-Berwick, PA Metro Area","42","037","Columbia County, Pennsylvania"
"14100","Bloomsburg-Berwick, PA Metro Area","42","093","Montour County, Pennsylvania"
"14140","Bluefield, WV-VA Micro Area","51","185","Tazewell County, Virginia"
"14140","Bluefield, WV-VA Micro Area","54","055","Mercer County, West Virginia"
"14180","Blytheville, AR Micro Area","05","093","Mississippi County, Arkansas"
"14220","Bogalusa, LA Micro Area","22","117","Washington Parish, Louisiana"
"14260","Boise City, ID Metro Area","16","001","Ada County, Idaho"
"14260","Boise City, ID Metro Area","16","015","Boise County, Idaho"
"14260","Boise City, ID Metro Area","16","027","Canyon County, Idaho"
"14260","Boise City, ID Metro Area","16","045","Gem County, Idaho"
"14260","Boise City, ID Metro Area","16","073","Owyhee County, Idaho"
"14340","Boone, IA Micro Area","19","015","Boone County, Iowa"
"14380","Boone, NC Micro Area","37","189","Watauga County, North Carolina"
"14420","Borger, TX Micro Area","48","233","Hutchinson County, Texas"
"14460","Boston-Cambridge-Newton, MA-NH Metro Area","25","009","Essex County, Massachusetts"
"14460","Boston-Cambridge-Newton, MA-NH Metro Area","25","017","Middlesex County, Massachusetts"
"14460","Boston-Cambridge-Newton, MA-NH Metro Area","25","021","Norfolk County, Massachusetts"
"14460","Boston-Cambridge-Newton, MA-NH Metro Area","25","023","Plymouth County, Massachusetts"
"14460","Boston-Cambridge-Newton, MA-NH Metro Area","25","025","Suffolk County, Massachusetts"
"14460","Boston-Cambridge-Newton, MA-NH Metro Area","33","015","Rockingham County, New Hampshire"
"14460","Boston-Cambridge-Newton, MA-NH Metro Area","33","017","Strafford County, New Hampshire"
"14500","Boulder, CO Metro Area","08","013","Boulder County, Colorado"
"14540","Bowling Green, KY Metro Area","21","003","Allen County, Kentucky"
"14540","Bowling Green, KY Metro Area","21","031","Butler County, Kentucky"
"14540","Bowling Green, KY Metro Area","21","061","Edmonson County, Kentucky"
