msa04	mmurd04	mrape04	mrobt04	mrobg04	massg04	massa04	mburg04	mlarc04	mmoto04	mpop04	mpopcm04	mpopg304	mpopl304	mpoprp04	mpopgn04	mpopna04	mct04	mctna04	mctcm04	mctg304	mctl304	mrmurd04	mrrobt04	mrassa04	mrburg04	mrlarc04	mrmoto04	mrrape04	mrrobg04	mrassg04
440	12.09085375	238.2611156	325.3095531	143.5243341	154.6797517	1047.266796	2903.996985	10115.35968	1319.821006	614211	594053	16561	3597	614211	594053	0	28	0	24	3	1	2	53	170.5	472.8	1646.9	214.9	38.8	24.2	26
450	7.966337423	58.65218137	197.8679969	88.01815027	125.0726011	412.7688689	1480.337194	3909.987039	314.8913658	112744	97047	13109	2588	112744	97047	0	10	0	7	1	2	7.1	175.5	366.1	1313	3468	279.3	52	90.7	128.9
460	3	77.6831392	58	18	18.47301262	296.9460252	1163.036865	6937.797414	299.5520012	371773	371773	0	0	371773	371773	0	24	0	24	0	0	0.8	15.6	79.9	312.8	1866.1	80.6	20.9	4.8	5
480	9.097703947	50.4585492	287.3724676	104	44	335.7401399	2269.17395	5200.61291	907.2773949	236235	103704	131217	1314	236235	103704	0	11	0	7	2	2	3.9	121.6	142.1	960.6	2201.5	384.1	21.4	100.3	42.4
500	5.031857316	60.42058871	179.4490005	51	68	321.0860504	1387.068343	5875.125806	446.1122132	161499	104361	56633	505	161499	104361	0	8	0	1	6	1	3.1	111.1	198.8	858.9	3637.9	276.2	37.4	48.9	65.2
520	358.3930274	1313.217612	9274.130186	3598	2329	12966.48445	43048.73105	118833.4752	28537.61675	4538568	3798420	546206	193942	4538568	2631672	0	108	0	57	39	12	7.9	204.3	285.7	948.5	2618.3	628.8	28.9	136.7	88.5
560	14	113	628	165	118	1026	2800	11878	618	367812	367812	0	0	367812	367812	0	33	0	33	0	0	3.8	170.7	278.9	761.3	3229.4	168	30.7	44.9	32.1
580	10.22906043	62.22165561	111.1304925	63.83248341	104.1378973	370.4900454	1238.76245	3785.839169	193.9874956	120343	120343	0	0	120343	120343	0	5	0	5	0	0	8.5	92.3	307.9	1029.4	3145.9	161.2	51.7	53	86.5
600	20.44902901	250.3687291	607.1448791	229	231	679.789847	4384.804375	15099.70954	2444.304613	495925	381534	112557	1834	495925	381534	0	21	0	16	4	1	4.1	122.4	137.1	884.2	3044.8	492.9	50.5	60	60.5
640	35	509.5744308	1569	532	517	2994.574431	10699.51051	44705.02102	3579.787215	1400772	1399873	899	0	1400772	1399873	0	40	0	39	1	0	2.5	112	213.8	763.8	3191.5	255.6	36.4	38	36.9
680	51	217	931	215	407	3222	8227	18651	4904	721313	721313	0	0	721313	721313	0	10	0	10	0	0	7.1	129.1	446.7	1140.6	2585.7	679.9	30.1	29.8	56.4
720	329	627	6916	1157	773	15517	18872	65114	12578	2639571	2639571	0	0	2639571	2005292	0	17	0	17	0	0	12.5	262	587.9	715	2466.8	476.5	23.8	57.7	38.5
733	1	20	29	3	1	55	929	3561	140	148279	148279	0	0	148279	148279	0	13	0	13	0	0	0.7	19.6	37.1	626.5	2401.6	94.4	13.5	2	0.7
