MSA	National Immigration	
Sherman-Denison, TX	4,112
Shreveport-Bossier City, LA	-1,287
Sioux City, IA-NE-SD	-11,776
Sioux Falls, SD	21,918
South Bend-Mishawaka, IN-MI	-15,023
Spartanburg, SC	17,494
Spokane, WA	25,018
Springfield, IL	-1,876
Springfield, MA	-14,916
Springfield, MO	42,620
Springfield, OH	-6,286
State College, PA	1,620
Stockton, CA	36,987
Sumter, SC	-5,762
Syracuse, NY	-28,390
Tallahassee, FL	18,169
Tampa-St. Petersburg-Clearwater, FL	266,146
Terre Haute, IN	-2,249
Texarkana, TX-Texarkana, AR	2,542
Toledo, OH	-33,311
Topeka, KS	-3,384
Trenton-Ewing, NJ	-14,260
Tucson, AZ	74,265
Tulsa, OK	4,636
Tuscaloosa, AL	6,125
Tyler, TX	13,389
Utica-Rome, NY	-10,515
Valdosta, GA	5,986
Vallejo-Fairfield, CA	-21,454
Victoria, TX	-4,826
Vineland-Millville-Bridgeton, NJ	821
Virginia Beach-Norfolk-Newport News, VA-NC	-9,290
Visalia-Porterville, CA	5
Waco, TX	1,981
Warner Robins, GA	14,238
Washington-Arlington-Alexandria, DC-VA-MD-WV	-117,861
Waterloo-Cedar Falls, IA	-6,515
Wausau, WI	-185
Weirton-Steubenville, WV-OH	-5,806
Wenatchee, WA	1,727
Wheeling, WV-OH	-4,890
Wichita, KS	-10,942
Wichita Falls, TX	-9,089
Williamsport, PA	-3,785
Wilmington, NC	61,766
Winchester, VA-WV	13,564
Winston-Salem, NC	18,155
Worcester, MA	-8,612
Yakima, WA	-15,534
York-Hanover, PA	29,576
Youngstown-Warren-Boardman, OH-PA	-32,510
Yuba City, CA	10,084
Yuma, AZ	10,603
