MSA	2008	2007	2006	2005	2004	2003	2002	2001	2000
Erie, PA	418	810	700	724	898	769	643	715	704
Eugene-Springfield, OR	771	1,490	1,708	2,356	1,750	1,534	1,625	1,385	1,330
Evansville, IN-KY	871	1,350	1,536	2,138	2,177	1,904	1,778	1,204	1,931
Fairbanks, AK	60	113	360	182	337	257	170	183	124
Fargo, ND-MN	1,306	1,803	1,927	2,720	2,821	2,266	2,159	1,529	1,304
Farmington, NM	316	371	443	439	351	367	280	170	172
Fayetteville, NC	2,306	2,664	4,115	4,325	3,528	2,267	2,836	1,614	1,805
Fayetteville-Springdale-Rogers, AR-MO	2,766	3,373	6,093	7,593	6,414	6,287	3,996	3,979	2,854
Flagstaff, AZ	283	477	1,080	1,080	910	1,189	865	877	683
Flint, MI	219	476	980	1,854	2,398	2,240	2,403	3,453	2,324
Florence, SC	573	1,049	902	906	407	251	701	232	814
Florence-Muscle Shoals, AL	345	448	375	326	305	442	326	249	324
Fond du Lac, WI	310	273	442	618	504	484	529	565	415
Fort Collins-Loveland, CO	1,265	1,341	2,240	2,887	3,252	3,003	3,036	3,664	3,524
Fort Smith, AR-OK	757	1,105	808	1,051	887	914	997	695	725
Fort Walton Beach-Crestview-Destin, FL	1,093	773	1,790	3,720	2,711	1,749	1,936	1,439	1,489
Fort Wayne, IN	1,016	1,115	1,588	2,541	2,637	2,631	2,913	2,605	2,126
Fresno, CA	2,560	4,855	5,278	7,400	7,157	5,753	3,837	3,768	3,156
Gadsden, AL	199	262	391	399	309	335	328	306	263
Gainesville, FL	1,054	1,475	2,041	2,395	2,116	1,763	1,884	2,401	2,043
Gainesville, GA	738	1,327	1,854	2,204	1,758	1,830	1,919	1,699	2,121
Glens Falls, NY	357	497	709	1,182	809	778	736	445	550
Goldsboro, NC	390	469	522	607	540	690	433	421	428
Grand Forks, ND-MN	374	404	486	647	590	674	371	202	155
Grand Junction, CO	784	1,366	1,574	1,505	1,551	1,589	1,370	1,253	1,316
Grand Rapids-Wyoming, MI	1,064	1,866	2,913	3,887	4,531	4,284	4,633	4,148	4,015
Great Falls, MT	205	316	320	316	224	201	120	167	99
Greeley, CO	980	1,847	2,922	4,279	4,414	3,963	4,411	4,301	4,369
Green Bay, WI	884	1,893	2,105	2,607	3,069	3,111	2,800	2,717	2,151
Greensboro-High Point, NC	3,296	4,966	6,417	6,290	6,139	4,816	5,668	6,393	4,786
Greenville, NC	1,274	2,548	2,320	2,577	2,201	1,736	1,880	1,872	1,797
Greenville-Mauldin-Easley, SC	3,175	5,411	5,526	5,062	5,003	4,469	4,305	4,227	4,348
Gulfport-Biloxi, MS	4,167	5,492	3,985	2,024	2,368	1,962	1,577	1,289	2,337
Hagerstown-Martinsburg, MD-WV	1,172	1,805	2,787	4,137	3,417	2,832	2,907	2,213	1,653
Hanford-Corcoran, CA	373	497	849	1,103	867	1,017	701	660	445
Harrisburg-Carlisle, PA	1,864	2,229	2,030	2,704	2,398	2,831	2,386	2,094	1,953
Harrisonburg, VA	943	1,306	908	1,198	1,082	728	793	599	631
Hartford-West Hartford-East Hartford, CT	1,691	2,795	3,638	4,036	4,058	4,137	3,846	3,504	3,265
Hattiesburg, MS	748	1,131	457	241	616	133	451	254	330
