MSA	45 to 54 years
Reading, PA	15.0
Redding, CA	14.2
Reno-Sparks, NV	14.9
Richmond, VA	15.2
Riverside-San Bernardino-Ontario, CA	12.6
Roanoke, VA	15.1
Rochester, MN	15.6
Rochester, NY	15.6
Rockford, IL	14.2
Rocky Mount, NC	15.6
Rome, GA	13.4
Sacramento--Arden-Arcade--Roseville, CA	14.0
Saginaw-Saginaw Township North, MI	15.0
St. Cloud, MN	13.6
St. George, UT	8.6
St. Joseph, MO-KS	14.6
St. Louis, MO-IL	15.8
Salem, OR	13.3
Salinas, CA	13.0
Salisbury, MD	13.6
Salt Lake City, UT	12.9
San Angelo, TX	13.1
San Antonio, TX	13.3
San Diego-Carlsbad-San Marcos, CA	13.8
Sandusky, OH	16.1
San Francisco-Oakland-Fremont, CA	15.6
San Jose-Sunnyvale-Santa Clara, CA	15.1
San Luis Obispo-Paso Robles, CA	14.5
Santa Barbara-Santa Maria-Goleta, CA	13.3
Santa Cruz-Watsonville, CA	15.9
Santa Fe, NM	15.6
Santa Rosa-Petaluma, CA	15.7
Savannah, GA	13.9
Scranton--Wilkes-Barre, PA	14.9
Seattle-Tacoma-Bellevue, WA	16.1
Sebastian-Vero Beach, FL	13.1
Sheboygan, WI	16.1
Sherman-Denison, TX	14.1
Shreveport-Bossier City, LA	14.1
Sioux City, IA-NE-SD	14.4
Sioux Falls, SD	14.4
South Bend-Mishawaka, IN-MI	14.8
Spartanburg, SC	14.3
Spokane, WA	14.5
Springfield, IL	15.6
Springfield, MA	14.9
Springfield, MO	13.4
Springfield, OH	14.4
State College, PA	11.2
Stockton, CA	13.0
Sumter, SC	14.7
Syracuse, NY	15.4
Tallahassee, FL	13.3
Tampa-St. Petersburg-Clearwater, FL	14.6
Terre Haute, IN	14.1
Texarkana, TX-Texarkana, AR	13.9
Toledo, OH	14.8
Topeka, KS	15.1
Trenton-Ewing, NJ	15.1
Tucson, AZ	13.6
Tulsa, OK	14.6
Tuscaloosa, AL	13.2
Tyler, TX	13.1
Utica-Rome, NY	14.8
Valdosta, GA	12.7
Vallejo-Fairfield, CA	15.2
Victoria, TX	14.5
Vineland-Millville-Bridgeton, NJ	13.3
Virginia Beach-Norfolk-Newport News, VA-NC	14.7
Visalia-Porterville, CA	11.7
Waco, TX	12.7
Warner Robins, GA	15.1
Washington-Arlington-Alexandria, DC-VA-MD-WV	15.5
Waterloo-Cedar Falls, IA	13.8
Wausau, WI	15.8
Weirton-Steubenville, WV-OH	16.0
Wenatchee, WA	14.5
Wheeling, WV-OH	15.9
Wichita, KS	14.7
Wichita Falls, TX	14.0
Williamsport, PA	15.3
Wilmington, NC	13.7
Winchester, VA-WV	14.3
Winston-Salem, NC	14.8
Worcester, MA	16.0
Yakima, WA	12.8
York-Hanover, PA	15.9
Youngstown-Warren-Boardman, OH-PA	15.6
Yuba City, CA	12.6
Yuma, AZ	11.2
