MSA	College Degree
San Jose-Sunnyvale-Santa Clara, CA	43.2
San Luis Obispo-Paso Robles, CA	29.5
Santa Barbara-Santa Maria-Goleta, CA	30.6
Santa Cruz-Watsonville, CA	37.7
Santa Fe, NM	39.3
Santa Rosa-Petaluma, CA	30.4
Savannah, GA	26.2
Scranton--Wilkes-Barre, PA	20.5
Seattle-Tacoma-Bellevue, WA	35.8
Sebastian-Vero Beach, FL	25.3
Sheboygan, WI	20.8
Sherman-Denison, TX	18.9
Shreveport-Bossier City, LA	21.2
Sioux City, IA-NE-SD	20.2
Sioux Falls, SD	28.3
South Bend-Mishawaka, IN-MI	23.9
Spartanburg, SC	18.6
Spokane, WA	26.8
Springfield, IL	29.1
Springfield, MA	28.5
Springfield, MO	23.4
Springfield, OH	16.2
State College, PA	40.2
Stockton, CA	16.8
Sumter, SC	16.9
Syracuse, NY	26.9
Tallahassee, FL	34.1
Tampa-St. Petersburg-Clearwater, FL	25.1
Terre Haute, IN	18.9
Texarkana, TX-Texarkana, AR	16.1
Toledo, OH	23.0
Topeka, KS	26.0
Trenton-Ewing, NJ	37.5
Tucson, AZ	29.6
Tulsa, OK	24.6
Tuscaloosa, AL	24.2
Tyler, TX	22.7
Utica-Rome, NY	19.8
Valdosta, GA	21.3
Vallejo-Fairfield, CA	22.3
Victoria, TX	15.7
Vineland-Millville-Bridgeton, NJ	12.7
Virginia Beach-Norfolk-Newport News, VA-NC	26.6
Visalia-Porterville, CA	12.3
Waco, TX	19.6
Warner Robins, GA	23.2
Washington-Arlington-Alexandria, DC-VA-MD-WV	46.2
Waterloo-Cedar Falls, IA	24.5
Wausau, WI	20.5
Weirton-Steubenville, WV-OH	14.0
Wenatchee, WA	20.7
Wheeling, WV-OH	16.7
Wichita, KS	25.4
Wichita Falls, TX	20.4
Williamsport, PA	17.6
Wilmington, NC	27.7
Winchester, VA-WV	21.2
Winston-Salem, NC	25.7
Worcester, MA	31.2
Yakima, WA	15.7
York-Hanover, PA	21.3
Youngstown-Warren-Boardman, OH-PA	17.8
Yuba City, CA	15.2
Yuma, AZ	12.5
