MSA	HS Degree
Virginia Beach-Norfolk-Newport News, VA-NC	87.8
Visalia-Porterville, CA	66.5
Waco, TX	78.2
Warner Robins, GA	87.5
Washington-Arlington-Alexandria, DC-VA-MD-WV	89.2
Waterloo-Cedar Falls, IA	89.2
Wausau, WI	87.6
Weirton-Steubenville, WV-OH	86.4
Wenatchee, WA	80.5
Wheeling, WV-OH	85.8
Wichita, KS	87.9
Wichita Falls, TX	82.7
Williamsport, PA	83.1
Wilmington, NC	85.8
Winchester, VA-WV	82.0
Winston-Salem, NC	83.5
Worcester, MA	87.9
Yakima, WA	70.4
York-Hanover, PA	85.4
Youngstown-Warren-Boardman, OH-PA	85.9
Yuba City, CA	77.8
Yuma, AZ	71.5
