MSA	65 years+
Reno-Sparks, NV	12.0
Richmond, VA	11.8
Riverside-San Bernardino-Ontario, CA	10.0
Roanoke, VA	16.2
Rochester, MN	12.6
Rochester, NY	13.6
Rockford, IL	12.8
Rocky Mount, NC	13.5
Rome, GA	14.4
Sacramento--Arden-Arcade--Roseville, CA	11.8
Saginaw-Saginaw Township North, MI	14.7
St. Cloud, MN	11.8
St. George, UT	18.3
St. Joseph, MO-KS	14.3
St. Louis, MO-IL	13.0
Salem, OR	13.0
Salinas, CA	10.2
Salisbury, MD	13.7
Salt Lake City, UT	8.6
San Angelo, TX	13.9
San Antonio, TX	10.8
San Diego-Carlsbad-San Marcos, CA	11.2
Sandusky, OH	17.2
San Francisco-Oakland-Fremont, CA	12.6
San Jose-Sunnyvale-Santa Clara, CA	10.9
San Luis Obispo-Paso Robles, CA	14.4
Santa Barbara-Santa Maria-Goleta, CA	13.0
Santa Cruz-Watsonville, CA	10.6
Santa Fe, NM	13.8
Santa Rosa-Petaluma, CA	13.1
Savannah, GA	11.4
Scranton--Wilkes-Barre, PA	18.0
Seattle-Tacoma-Bellevue, WA	10.6
Sebastian-Vero Beach, FL	25.3
Sheboygan, WI	14.0
Sherman-Denison, TX	15.1
Shreveport-Bossier City, LA	13.2
Sioux City, IA-NE-SD	13.0
Sioux Falls, SD	11.6
South Bend-Mishawaka, IN-MI	13.1
Spartanburg, SC	13.4
Spokane, WA	12.8
Springfield, IL	14.0
Springfield, MA	13.7
Springfield, MO	13.5
Springfield, OH	16.0
State College, PA	11.4
Stockton, CA	10.2
Sumter, SC	13.6
Syracuse, NY	13.4
Tallahassee, FL	10.1
Tampa-St. Petersburg-Clearwater, FL	17.5
Terre Haute, IN	14.2
Texarkana, TX-Texarkana, AR	13.6
Toledo, OH	13.0
Topeka, KS	14.2
Trenton-Ewing, NJ	12.2
Tucson, AZ	15.2
Tulsa, OK	12.5
Tuscaloosa, AL	11.5
Tyler, TX	14.7
Utica-Rome, NY	16.1
Valdosta, GA	10.4
Vallejo-Fairfield, CA	11.2
Victoria, TX	14.0
Vineland-Millville-Bridgeton, NJ	12.6
Virginia Beach-Norfolk-Newport News, VA-NC	11.4
Visalia-Porterville, CA	9.6
Waco, TX	12.4
Warner Robins, GA	10.7
Washington-Arlington-Alexandria, DC-VA-MD-WV	10.1
Waterloo-Cedar Falls, IA	14.9
Wausau, WI	13.8
Weirton-Steubenville, WV-OH	19.2
Wenatchee, WA	15.3
Wheeling, WV-OH	17.8
Wichita, KS	12.1
Wichita Falls, TX	13.2
Williamsport, PA	16.6
Wilmington, NC	15.3
Winchester, VA-WV	13.2
Winston-Salem, NC	13.4
Worcester, MA	12.3
Yakima, WA	11.5
York-Hanover, PA	13.8
Youngstown-Warren-Boardman, OH-PA	17.2
Yuba City, CA	11.1
Yuma, AZ	18.9
